"length","kips","min_thkn","max_thkn","min_wght_asd","limit_state_asd","slenderRat"
108,0,0.1875,24,"0.84_0.188","Tensile_Yielding",450.1719705
108,0,0.1875,12,"0.84_0.188","Tensile_Yielding",450.1719705
108,0,0.25,72,"0.84_0.294","Tensile_Yielding",492.596372
108,0,0.25,36,"0.84_0.294","Tensile_Yielding",492.596372
108,0,0.25,24,"0.84_0.294","Tensile_Yielding",492.596372
108,0,0.25,12,"0.84_0.294","Tensile_Yielding",492.596372
108,0,0.375,72,"1.66_0.382","Tensile_Yielding",229.010496
108,0,0.375,36,"1.66_0.382","Tensile_Yielding",229.010496
108,0,0.375,24,"1.66_0.382","Tensile_Yielding",229.010496
108,0,0.375,12,"1.66_0.382","Tensile_Yielding",229.010496
114,0,0.1875,72,"0.84_0.188","Tensile_Yielding",475.1815244
114,0,0.1875,36,"0.84_0.188","Tensile_Yielding",475.1815244
114,0,0.1875,24,"0.84_0.188","Tensile_Yielding",475.1815244
114,0,0.1875,12,"0.84_0.188","Tensile_Yielding",475.1815244
114,0,0.25,72,"0.84_0.294","Tensile_Yielding",519.9628371
114,0,0.25,36,"0.84_0.294","Tensile_Yielding",519.9628371
114,0,0.25,24,"0.84_0.294","Tensile_Yielding",519.9628371
114,0,0.25,12,"0.84_0.294","Tensile_Yielding",519.9628371
114,0,0.375,72,"1.66_0.382","Tensile_Yielding",241.7333013
114,0,0.375,36,"1.66_0.382","Tensile_Yielding",241.7333013
114,0,0.375,24,"1.66_0.382","Tensile_Yielding",241.7333013
114,0,0.375,12,"1.66_0.382","Tensile_Yielding",241.7333013
120,0,0.1875,72,"0.84_0.188","Tensile_Yielding",500.1910784
120,0,0.1875,36,"0.84_0.188","Tensile_Yielding",500.1910784
120,0,0.1875,24,"0.84_0.188","Tensile_Yielding",500.1910784
120,0,0.1875,12,"0.84_0.188","Tensile_Yielding",500.1910784
120,0,0.25,72,"0.84_0.294","Tensile_Yielding",547.3293023
120,0,0.25,36,"0.84_0.294","Tensile_Yielding",547.3293023
120,0,0.25,24,"0.84_0.294","Tensile_Yielding",547.3293023
120,0,0.25,12,"0.84_0.294","Tensile_Yielding",547.3293023
120,0,0.375,72,"1.66_0.382","Tensile_Yielding",254.4561067
120,0,0.375,36,"1.66_0.382","Tensile_Yielding",254.4561067
120,0,0.375,24,"1.66_0.382","Tensile_Yielding",254.4561067
120,0,0.375,12,"1.66_0.382","Tensile_Yielding",254.4561067
126,0,0.1875,72,"0.84_0.188","Tensile_Yielding",525.2006323
126,0,0.1875,36,"0.84_0.188","Tensile_Yielding",525.2006323
126,0,0.1875,24,"0.84_0.188","Tensile_Yielding",525.2006323
126,0,0.1875,12,"0.84_0.188","Tensile_Yielding",525.2006323
126,0,0.25,72,"0.84_0.294","Tensile_Yielding",574.6957674
126,0,0.25,36,"0.84_0.294","Tensile_Yielding",574.6957674
126,0,0.25,24,"0.84_0.294","Tensile_Yielding",574.6957674
126,0,0.25,12,"0.84_0.294","Tensile_Yielding",574.6957674
126,0,0.375,72,"1.66_0.382","Tensile_Yielding",267.178912
126,0,0.375,36,"1.66_0.382","Tensile_Yielding",267.178912
126,0,0.375,24,"1.66_0.382","Tensile_Yielding",267.178912
126,0,0.375,12,"1.66_0.382","Tensile_Yielding",267.178912
132,0,0.1875,72,"0.84_0.188","Tensile_Yielding",550.2101862
132,0,0.1875,36,"0.84_0.188","Tensile_Yielding",550.2101862
132,0,0.1875,24,"0.84_0.188","Tensile_Yielding",550.2101862
132,0,0.1875,12,"0.84_0.188","Tensile_Yielding",550.2101862
132,0,0.25,72,"0.84_0.294","Tensile_Yielding",602.0622325
132,0,0.25,36,"0.84_0.294","Tensile_Yielding",602.0622325
132,0,0.25,24,"0.84_0.294","Tensile_Yielding",602.0622325
132,0,0.25,12,"0.84_0.294","Tensile_Yielding",602.0622325
132,0,0.375,72,"1.66_0.382","Tensile_Yielding",279.9017173
132,0,0.375,36,"1.66_0.382","Tensile_Yielding",279.9017173
132,0,0.375,24,"1.66_0.382","Tensile_Yielding",279.9017173
132,0,0.375,12,"1.66_0.382","Tensile_Yielding",279.9017173
138,0,0.1875,72,"0.84_0.188","Tensile_Yielding",575.2197401
138,0,0.1875,36,"0.84_0.188","Tensile_Yielding",575.2197401
138,0,0.1875,24,"0.84_0.188","Tensile_Yielding",575.2197401
138,0,0.1875,12,"0.84_0.188","Tensile_Yielding",575.2197401
138,0,0.25,72,"0.84_0.294","Tensile_Yielding",629.4286976
138,0,0.25,36,"0.84_0.294","Tensile_Yielding",629.4286976
138,0,0.25,24,"0.84_0.294","Tensile_Yielding",629.4286976
138,0,0.25,12,"0.84_0.294","Tensile_Yielding",629.4286976
138,0,0.375,72,"1.66_0.382","Tensile_Yielding",292.6245227
138,0,0.375,36,"1.66_0.382","Tensile_Yielding",292.6245227
138,0,0.375,24,"1.66_0.382","Tensile_Yielding",292.6245227
138,0,0.375,12,"1.66_0.382","Tensile_Yielding",292.6245227
144,0,0.1875,72,"0.84_0.188","Tensile_Yielding",600.229294
144,0,0.1875,36,"0.84_0.188","Tensile_Yielding",600.229294
144,0,0.1875,24,"0.84_0.188","Tensile_Yielding",600.229294
144,0,0.1875,12,"0.84_0.188","Tensile_Yielding",600.229294
144,0,0.25,72,"0.84_0.294","Tensile_Yielding",656.7951627
144,0,0.25,36,"0.84_0.294","Tensile_Yielding",656.7951627
144,0,0.25,24,"0.84_0.294","Tensile_Yielding",656.7951627
144,0,0.25,12,"0.84_0.294","Tensile_Yielding",656.7951627
144,0,0.375,72,"1.66_0.382","Tensile_Yielding",305.347328
144,0,0.375,36,"1.66_0.382","Tensile_Yielding",305.347328
144,0,0.375,24,"1.66_0.382","Tensile_Yielding",305.347328
144,0,0.375,12,"1.66_0.382","Tensile_Yielding",305.347328
150,0,0.1875,72,"0.84_0.188","Tensile_Yielding",625.2388479
150,0,0.1875,36,"0.84_0.188","Tensile_Yielding",625.2388479
150,0,0.1875,24,"0.84_0.188","Tensile_Yielding",625.2388479
150,0,0.1875,12,"0.84_0.188","Tensile_Yielding",625.2388479
150,0,0.25,72,"0.84_0.294","Tensile_Yielding",684.1616278
150,0,0.25,36,"0.84_0.294","Tensile_Yielding",684.1616278
150,0,0.25,24,"0.84_0.294","Tensile_Yielding",684.1616278
150,0,0.25,12,"0.84_0.294","Tensile_Yielding",684.1616278
150,0,0.375,72,"1.66_0.382","Tensile_Yielding",318.0701333
150,0,0.375,36,"1.66_0.382","Tensile_Yielding",318.0701333
150,0,0.375,24,"1.66_0.382","Tensile_Yielding",318.0701333
